Link Text,URL
,/
Coronavirus,/coronavirus/
Population,/population/
W,/
Population,/population/
view all people on 1 page >,/watch/world-population/
Top 20 Countries LIVE,#top20
"Past, present, and future",#pastfuture
Global Growth Rate,#growthrate
Historical data,#table-historical
Forecast,#table-forecast
Milestones,#milestones
by Region,#region
by Religion,#religions
Population Density,#density
Population by Country,/world-population/population-by-country/
All-time total,#total
Sources and methods,#sources
Demographics,/demographics/world-demographics/
Age Structure,/demographics/world-demographics/#broad-age
Sex Ratio,/demographics/world-demographics/#sex-ratio
Population Pyramid,/demographics/world-demographics/#population-pyramid
Median Age,/demographics/world-demographics/#median-age
Fertility Rate,/demographics/world-demographics/#tfr
Life Expectancy,/demographics/life-expectancy/
,/demographics/world-demographics/#urb
Urbanization,/demographics/world-demographics/#urb
India,/world-population/india-population/
China,/world-population/china-population/
U.S.A.,/world-population/us-population/
Indonesia,/world-population/indonesia-population/
Pakistan,/world-population/pakistan-population/
Nigeria,/world-population/nigeria-population/
Brazil,/world-population/brazil-population/
Bangladesh,/world-population/bangladesh-population/
Russia,/world-population/russia-population/
Ethiopia,/world-population/ethiopia-population/
Mexico,/world-population/mexico-population/
Japan,/world-population/japan-population/
Egypt,/world-population/egypt-population/
Philippines,/world-population/philippines-population/
D.R. Congo,/world-population/democratic-republic-of-the-congo-population/
Vietnam,/world-population/vietnam-population/
Iran,/world-population/iran-population/
Turkey,/world-population/turkey-population/
Germany,/world-population/germany-population/
Thailand,/world-population/thailand-population/
see all countries >,/world-population/population-by-country/
1950 rank > ,http://www.worldometers.info/population/most-populous-countries/#past
2050 rank > ,http://www.worldometers.info/population/most-populous-countries/#future
,
back to top ↑,#
View the full tabulated data. ,/world-population/world-population-by-year/
growth rates,#growthrate
simple wizard ,https://www.theguardian.com/environment/interactive/2011/oct/24/how-big-worlds-population-born
more elaborated,http://www.bbc.co.uk/news/world-15391515
World Population Prospects: The 2024 Revision,https://population.un.org/wpp/
"The World at Six Billion, World Population, Year 0 to near stabilization",https://www.un.org/development/desa/pd/sites/www.un.org.development.desa.pd/files/files/documents/2020/Jan/un_1999_6billion.pdf
,
back to top ↑,#
world population projections,/world-population/world-population-projections/
,
View the complete population historical table ,/world-population/world-population-by-year/
www.Worldometers.info,/
World Population Prospects: The 2024 Revision,https://population.un.org/wpp/
back to top ↑,#
,
View population projections for all years (up to 2100) ,/world-population/world-population-projections/
www.Worldometers.info,/
World Population Prospects: The 2024 Revision,https://population.un.org/wpp/
,https://esa.un.org/unpd/wpp/
,
back to top ↑,#
1,#ref-1
"November 15, 2022)",https://www.un.org/en/dayof8billion
International Database (IDB),https://www.census.gov/programs-surveys/international-programs/about/idb.html
source,"https://www.census.gov/library/stories/2023/11/world-population-estimated-eight-billion.html#:~:text=For%20example%2C%20the%20United%20Nations,above%205%20children%20per%20woman."
"reached on March 12, 2012",https://www.census.gov/newsroom/blogs/random-samplings/2011/10/the-world-population-at-7-billion.html
,
back to top ↑,#
Asia,/population/asia/
Africa,/population/africa/
Europe,/population/europe/
Latin America and the Caribbean,/population/latin-america-and-the-caribbean/
Northern America,/population/northern-america/
Oceania,/population/oceania/
,
back to top ↑,#
World Map ,/world-map/
Junuxx,//en.wikipedia.org/wiki/User:Junuxx
en.wikipedia,http://en.wikipedia.org
CC-BY-SA-3.0,http://creativecommons.org/licenses/by-sa/3.0
GFDL,http://www.gnu.org/copyleft/fdl.html
via Wikimedia Commons,http://commons.wikimedia.org/wiki/File%3ACountries_and_regions_by_population_density.png
,
back to top ↑,#
The Pew Forum,http://www.pewforum.org/global-religious-landscape-unaffiliated.aspx
,http://commons.wikimedia.org/wiki/File%3APrevailing_world_religions_map_rus.png
,
India,/world-population/india-population/
China,/world-population/china-population/
United States,/world-population/us-population/
Indonesia,/world-population/indonesia-population/
Pakistan,/world-population/pakistan-population/
Nigeria,/world-population/nigeria-population/
Brazil,/world-population/brazil-population/
Bangladesh,/world-population/bangladesh-population/
Russia,/world-population/russia-population/
Ethiopia,/world-population/ethiopia-population/
Mexico,/world-population/mexico-population/
Japan,/world-population/japan-population/
Egypt,/world-population/egypt-population/
Philippines,/world-population/philippines-population/
DR Congo,/world-population/democratic-republic-of-the-congo-population/
Vietnam,/world-population/vietnam-population/
Iran,/world-population/iran-population/
Turkey,/world-population/turkey-population/
Germany,/world-population/germany-population/
Thailand,/world-population/thailand-population/
United Kingdom,/world-population/uk-population/
Tanzania,/world-population/tanzania-population/
France,/world-population/france-population/
South Africa,/world-population/south-africa-population/
Italy,/world-population/italy-population/
Kenya,/world-population/kenya-population/
Myanmar,/world-population/myanmar-population/
Colombia,/world-population/colombia-population/
South Korea,/world-population/south-korea-population/
Sudan,/world-population/sudan-population/
Uganda,/world-population/uganda-population/
Spain,/world-population/spain-population/
Algeria,/world-population/algeria-population/
Iraq,/world-population/iraq-population/
Argentina,/world-population/argentina-population/
Afghanistan,/world-population/afghanistan-population/
Yemen,/world-population/yemen-population/
Canada,/world-population/canada-population/
Poland,/world-population/poland-population/
Morocco,/world-population/morocco-population/
Angola,/world-population/angola-population/
Ukraine,/world-population/ukraine-population/
Uzbekistan,/world-population/uzbekistan-population/
Malaysia,/world-population/malaysia-population/
Mozambique,/world-population/mozambique-population/
Ghana,/world-population/ghana-population/
Peru,/world-population/peru-population/
Saudi Arabia,/world-population/saudi-arabia-population/
Madagascar,/world-population/madagascar-population/
Côte d'Ivoire,/world-population/cote-d-ivoire-population/
Nepal,/world-population/nepal-population/
Cameroon,/world-population/cameroon-population/
Venezuela,/world-population/venezuela-population/
Niger,/world-population/niger-population/
Australia,/world-population/australia-population/
North Korea,/world-population/north-korea-population/
Syria,/world-population/syria-population/
Mali,/world-population/mali-population/
